FILE NAME^# OF ENTRIES^GLOBAL^FILE VERSION^LAST IEN
FILE^2792^DIC(^
INDEX^1453^DD("IX",^22.2^1508
SCHEDULING CONVERSION SPECIFICATION TEMPLATE^^SD(404.98,^5.3^
PATIENT MOVEMENT^1^DGPM(^5.3^1
FACILITY MOVEMENT TYPE^47^DG(405.1,^5.3^47
MAS MOVEMENT TYPE^46^DG(405.2,^5.3^47
MAS MOVEMENT TRANSACTION TYPE^7^DG(405.3,^5.3^7
ROOM-BED^^DG(405.4,^5.3^
MAS OUT-OF-SERVICE^9^DG(405.5,^5.3^9
ROOM-BED DESCRIPTION^^DG(405.6,^5.3^
LODGING REASON^4^DG(406.41,^5.3^4
LETTER^^VA(407.5,^5.3^
LETTER TYPE^6^VA(407.6,^5.3^11
TRANSMISSION ROUTERS^9^VAT(407.7,^5.3^12
DISCRETIONARY WORKLOAD^^VAT(408,^5.3^
RELATIONSHIP^35^DG(408.11,^5.3^99
PATIENT RELATION^^DGPR(408.12,^5.3^
INCOME PERSON^^DGPR(408.13,^5.3^
INDIVIDUAL ANNUAL INCOME^^DGMT(408.21,^1.0^
INCOME RELATION^^DGMT(408.22,^5.3^
ANNUAL MEANS TEST^0^DGMT(408.31,^5.3^
MEANS TEST STATUS^16^DG(408.32,^5.3^16
TYPE OF TEST^4^DG(408.33,^5.3^4
SOURCE OF INCOME TEST^4^DG(408.34,^^4
MEANS TEST CHANGES^^DGMT(408.41,^5.3^
MEANS TEST CHANGES TYPE^20^DG(408.42,^5.3^20
APPOINTMENT TYPE^11^SD(409.1,^5.3^11
CANCELLATION REASONS^13^SD(409.2,^5.3^13
SD WAIT LIST^^SDWL(409.3,^5.3^
SD WL SERVICE/SPECIALTY^^SDWL(409.31,^5.3^
SD WL CLINIC LOCATION^0^SDWL(409.32,^5.3^
SDWL TRANSFER REQUEST^^SDWL(409.35,^5.3^
SDWL TRANSFER ACCEPT^^SDWL(409.36,^5.3^
EWL CLEAN-UP^^SDWL(409.39,^5.3^
OUTPATIENT CLASSIFICATION TYPE^8^SD(409.41,^5.3^8
OUTPATIENT CLASSIFICATION^^SDD(409.42,^5.3^
OUTPATIENT DIAGNOSIS^^SDD(409.43,^5.3^
OUTPATIENT PROVIDER^^SDD(409.44,^5.3^
OUTPATIENT CLASSIFICATION STOP CODE EXCEPTION^39^SD(409.45,^5.3^39
SDSC SERVICE CONNECTED CHANGES^^SDSC(409.48,^5.3^
SCHEDULING VISITS^^SDV(^5.3^
APPOINTMENT PFSS ACCOUNT REFERENCE^^SD(409.55,^5.3^
PATIENT APPOINTMENT INFO LOG^^SDWL(409.6,^5.3^
LIST TEMPLATE^692^SD(409.61,^1^781
APPOINTMENT GROUP^10^SD(409.62,^5.3^10
APPOINTMENT STATUS^14^SD(409.63,^5.3^14
QUERY OBJECT^1^SD(409.64,^5.3^1
APPOINTMENT STATUS UPDATE LOG^^SDD(409.65,^5.3^
APPOINTMENT TRANSACTION TYPE^9^SD(409.66,^5.3^9
CLINIC GROUP^^SD(409.67,^5.3^
OUTPATIENT ENCOUNTER^^SCE(^5.3^
TRANSMITTED OUTPATIENT ENCOUNTER^^SD(409.73,^5.3^
DELETED OUTPATIENT ENCOUNTER^0^SD(409.74,^5.3^0
TRANSMITTED OUTPATIENT ENCOUNTER ERROR^0^SD(409.75,^5.3^
TRANSMITTED OUTPATIENT ENCOUNTER ERROR CODE^245^SD(409.76,^5.3^303
ACRP TRANSMISSION HISTORY^^SD(409.77,^5.3^
SDEC APPLICATION^^SDEC(409.81,^5.3^
SDEC ACCESS GROUP^^SDEC(409.822,^5.3^
SDEC ACCESS TYPE^3^SDEC(409.823,^5.3^3
SDEC ACCESS GROUP TYPE^^SDEC(409.824,^5.3^
SDEC RESOURCE^1^SDEC(409.831,^5.3^1
SDEC RESOURCE GROUP^^SDEC(409.832,^5.3^
SDEC RESOURCE USER^^SDEC(409.833,^5.3^
SDEC ADDITIONAL RESOURCE^^SDEC(409.834,^5.3^
SDEC APPOINTMENT^0^SDEC(409.84,^5.3^
SDEC PREFERENCES AND SPECIAL NEEDS^^SDEC(409.845,^5.3^
SDEC APPT REQUEST^^SDEC(409.85,^5.3^
SDEC CONTACT^^SDEC(409.86,^5.3^
ACRP REPORT TEMPLATE^^SDD(409.91,^5.3^
ACRP REPORT TEMPLATE PARAMETER^82^SD(409.92,^5.3^82
PRINT MANAGER CLINIC SETUP^^SD(409.95,^3.0^
PRINT MANAGER DIVISION SETUP^^SD(409.96,^3.0^
CONTROL POINT ACTIVITY^^PRCS(410,^5.1^
TRANSACTION NUMBER^^PRCS(410.1,^5.1^
CLASSIFICATION OF REQUEST^^PRCS(410.2,^5.1^
REPETITIVE ITEM LIST^^PRCS(410.3,^5.1^
SUB-CONTROL POINT^^PRCS(410.4,^5.1^
CPA FORM TYPE^^PRCS(410.5,^5.1^
DELIVERY SCHEDULE^^PRCS(410.6,^5.1^
SORT GROUP^^PRCS(410.7,^5.1^
DELIVERY POINT^^PRCS(410.8,^5.1^
AUTHORITY OF REQUEST^63^PRCS(410.9,^5.1^140
ADMIN. ACTIVITY SITE PARAMETER^^PRC(411,^5.1^
FACILITY TYPE (TEMPORARY)^^PRC(411.2,^5.1^
IFCAP CONVERSION DISCREPANCY^^PRC(411.3,^5.1^
IFCAP CONVERSION ERROR^^PRC(411.4,^5.1^
IFCAP PARAMETERS^1^PRC(411.5,^5.1^1
EQUIPMENT REQUEST^0^PRCN(413,^1.0^
TURN-IN REQUEST^^PRCN(413.1,^1.0^
EQUIPMENT COMMITTEE^^PRCN(413.2,^1.0^
CONCURRING OFFICIALS^^PRCN(413.3,^1.0^
SPECIAL HANDLING CODES^12^PRCN(413.4,^1.0^12
NX STATUS^35^PRCN(413.5,^1.0^45
COUNTER^^PRCN(413.7,^1.0^
DYNAMED IFCAP INTERFACE AUDIT^^PRCV(414.02,^5.1^
COTS INVENTORY SUBSCRIPTION CONTROL^^PRCV(414.03,^5.1^
RECORD CHECKSUM^^PRCV(414.04,^5.1^
IFCAP/ECMS TRANSACTION^^PRCV(414.06,^5.1^
IFCAP/ECMS EVENT TYPE^10^PRCV(414.07,^5.1^11
FMS TRANSACTIONS^^PRCS(417,^5.1^
FMS EXCEPTIONS^0^PRCS(417.1,^5.1^
FUND CONTROL POINT^^PRC(420,^5.1^
COST CENTER^679^PRCD(420.1,^5.1^899900
PRCD SD PROGRAM^^PRCD(420.13,^5.1^
PRCD SD FCP/PRJ^^PRCD(420.131,^5.1^
PRCD SD OBJECT CLASS^21^PRCD(420.132,^5.1^21
PRCD SD JOB^22^PRCD(420.133,^5.1^22
PRCD SD REPORTING CATEGORY^^PRCD(420.134,^5.1^
PRCD SD REVENUE SOURCE^^PRCD(420.135,^5.1^
PRCD SD SUB-REV SOURCE^^PRCD(420.136,^5.1^
PRCD SD SUB-OBJ^3748^PRCD(420.137,^5.1^3749
PRCD SD FMS SECURITY^3^PRCD(420.138,^5.1^3
PRCD FUND^7^PRCD(420.14,^5.1^894
PRCD FMS SUB-ALLOWANCE ACCOUNT^^PRCD(420.141,^5.1^
PRCD SD ADMINISTRATIVE OFFICE^11^PRCD(420.15,^5.1^12
PRCD SD DOCUMENT TYPE^5^PRCD(420.16,^5.1^5
PRCD SD DOCUMENT DATA ELEMENT^14^PRCD(420.17,^5.1^14
PRCD REQUIRED FIELDS^6^PRCD(420.18,^5.1^6
PRCD STANDARD DICTIONARY^12^PRCD(420.19,^5.1^14
PRCD SD STATUS^3^PRCD(420.1999,^5.1^3
BUDGET OBJECT CODE^325^PRCD(420.2,^5.1^9999
PRCD FUND/APPROPRIATION CODE^7^PRCD(420.3,^5.1^290
CALM/LOG TRANSACTIONS CODE LIST^591^PRCD(420.4,^5.1^808267
UNIT OF ISSUE^93^PRCD(420.5,^5.1^95
REASON NOT COMPETED^17^PRCD(420.51,^5.1^17
SOLICITATION PROCEDURE^7^PRCD(420.52,^5.1^7
EXTENT COMPETED^9^PRCD(420.53,^5.1^9
EVALUATED PREFERENCE^5^PRCD(420.54,^5.1^5
EPA DESIGNATED PRODUCT^5^PRCD(420.55,^5.1^5
CODE INDEX^91^PRCD(420.6,^5.1^174
BUDGET DISTRIBUTION CODES^23^PRCF(420.7,^5.1^28
SOURCE CODE^10^PRCD(420.8,^5.1^10
INTERMEDIATE PRODUCT^^PRCD(420.9,^5.1^
PRCU IFCAP/FMS CONVERSION^^PRCU(420.92,^5.1^
IFCAP/FMS OBLIGATION RECONCILIATION REPORT^^PRCU(420.96,^5.1^
IFCAP/FMS FCP RECONCILIATION MESSAGE^^PRCU(420.97,^5.1^
IFCAP/FMS FCP RECONCILIATION REPORT^^PRCU(420.98,^5.1^
IFCAP TEMP FCP SNAPSHOT^^PRCU(420.99,^5.1^
PRCD SD STANDARD FOR COPYING^^PRCD(420.9999,^5.1^
FUND DISTRIBUTION^^PRCF(421,^5.1^
MULTIPLE DISTRIBUTION^^PRCF(421.1,^5.1^
CALM/LOG TRANSMISSION RECORD^^PRCF(421.2,^5.1^
CALM ERROR MESSAGES^240^PRCF(421.3,^5.1^270
FISCAL LOCK^8^PRCF(421.4,^5.1^9
INVOICE TRACKING^0^PRCF(421.5,^5.1^
FUND DISTRIBUTION (TEMP TRANS)^^PRCF(421.6,^5.1^
INVOICE DLN COUNTER^^PRCF(421.7,^5.1^
FISCAL STACKED DOCUMENTS^^PRC(421.8,^5.1^
INVOICE PARTIAL COUNTER^^PRCF(421.9,^5.1^
CALM/LOG TEMPLATE MAPS^134^PRCD(422,^5.1^134
COUNTER^^PRCF(422.2,^5.1^
CALM/LOG CODE SHEET^^PRCF(423,^5.1^
ISMS REASON CODES^66^PRCF(423.4,^5.1^306
PRC IFCAP MESSAGE ROUTER^44^PRCF(423.5,^5.1^45
ISMS/FMS TRANS^^PRCF(423.6,^5.1^
CALM/LOG BATCH TYPE^14^PRCF(423.9,^5.1^13
1358 DAILY RECORD^^PRC(424,^5.1^
1358 AUTHORIZATION DETAIL^^PRC(424.1,^5.1^
ACCOUNTS RECEIVABLE^^PRCA(430,^4.5^
ACCOUNTS RECEIVABLE CATEGORY^44^PRCA(430.2,^4.5^45
ACCOUNTS RECEIVABLE TRANS.TYPE^49^PRCA(430.3,^4.5^49
AR RETURN REASON CODE^20^PRCA(430.5,^4.5^20
AR DEBT LIST^35^PRCA(430.6,^4.5^37
AR DEBT COLLECTOR DATA^^PRCA(430.7,^4.5^
AR ARCHIVE^^PRCAK(430.8,^4.5^
AR TRANSACTION^^PRCA(433,^4.5^
AR MEDICARE DEDUCTIBLE ALERTS PART A^^PRCA(436.1,^4.5^
VENDOR^0^PRC(440,^5.1^
DIRECT DELIVERY PATIENTS^^PRC(440.2,^5.1^
VENDOR EDIT^^PRC(440.3,^5.1^
PURCHASE CARD INFORMATION^^PRC(440.5,^5.1^
PURCHASE CARD ORDER RECONCILE^0^PRCH(440.6,^5.1^
MONTHLY ACCRUAL^^PRCH(440.7,^5.1^
PRCH AFC CHARGE TRANSMISSION LOG^^PRCH(440.8,^5.1^
ITEM MASTER^^PRC(441,^5.1^
FEDERAL SUPPLY CLASSIFICATION^3030^PRC(441.2,^5.1^659016
FSC GROUP TITLES^102^PRC(441.3,^5.1^123
DLA/LOG CODES^94^PRCD(441.4,^5.1^96
TYPE OF REQUISITION AMENDMENT^12^PRCD(441.6,^5.1^32
AMENDMENTS TO DELIVERY SCHEDULES^^PRC(441.7,^5.1^
PROCUREMENT & ACCOUNTING TRANSACTIONS^0^PRC(442,^5.1^
TYPE OF AMENDMENT^27^PRCD(442.2,^5.1^37
PURCHASE ORDER STATUS^56^PRCD(442.3,^5.1^77
PURCHASE AUTHORITY^13^PRC(442.4,^5.1^16
PAT TYPE^13^PRCD(442.5,^5.1^26
PAT NUMBER^^PRC(442.6,^5.1^
ADMINISTRATIVE CERTIFICATIONS^11^PRC(442.7,^5.1^11
DELIVERY SCHEDULE (ORDER)^^PRC(442.8,^5.1^
ELEC RECEIVING REPORT BATCH^^PRC(442.9,^5.1^
REQUEST WORKSHEET^^PRC(443,^5.1^
IFCAP PURGEMASTER WORKLIST^^PRC(443.1,^5.1^
IFCAP PURGE PARAMETERS^^PRC(443.2,^5.1^
IFCAP PURGE INPROCESS^^PRC(443.3,^5.1^
TYPE OF SPECIAL HANDLING^2^PRC(443.4,^5.1^2
P.O./REQUEST/R.R. PRINT LOG^^PRC(443.5,^5.1^
AMENDMENTS^^PRC(443.6,^5.1^
EDI SENDER^^PRC(443.75,^5.1^
EDI ERROR CODES^18^PRC(443.76,^5.1^18
LOCAL PROCUREMENT REASON CODES^10^PRC(443.8,^5.1^10
IFCAP PENDING ARCHIVE^^PRC(443.9,^5.1^
REQUEST FOR QUOTATION^^PRC(444,^5.1^
RFQ VENDOR^^PRC(444.1,^5.1^
SIC CODE^1182^PRC(444.2,^5.1^9999
SIC CODE GROUPS^16^PRC(444.21,^5.1^51
RFQ COUNTER^^PRC(444.3,^5.1^
RFQ EDITING PREFERENCE^^PRC(444.4,^5.1^
GENERIC INVENTORY^0^PRCP(445,^5.1^
INVENTORY BALANCES^^PRCP(445.1,^5.1^
INVENTORY TRANSACTION^0^PRCP(445.2,^5.1^
INTERNAL DISTRIBUTION ORDER/ADJ.^^PRCP(445.3,^5.1^
STORAGE LOCATION^^PRCP(445.4,^5.1^
AUTOMATED SUPPLY STATIONS^2^PRCP(445.5,^5.1^2
GROUP CATEGORY^^PRCP(445.6,^5.1^
CASE CARTS^^PRCP(445.7,^5.1^
INSTRUMENT KITS^^PRCP(445.8,^5.1^
DISTRIBUTION/USAGE HISTORY^^PRCP(446,^5.1^
INVENTORY DISTRIBUTED PATIENT SUPPLIES^^PRCP(446.1,^5.1^
BARCODE PROGRAM^4^PRCT(446.4,^5.1^5
CUSTOM LABEL^6^PRCT(446.5,^5.1^1
SPECIALTY COMMANDS^4^PRCT(446.6,^5.1^6
CLRS REPORT STORAGE^^PRCP(446.7,^5.1^
INVENTORY LOCK MANAGEMENT^^PRCP(447,^5.1^
AUTOMATED SUPPLY STATION PROCESSING QUEUE^^PRCP(447.1,^5.1^
PAID EMPLOYEE^^PRSPC(^4.0^
PAID DOWNLOAD MESSAGE ERROR^^PRSD(450.11,^4.0^
PAID DOWNLOAD MESSAGE^^PRSD(450.12,^4.0^
POC DAILY TIME RECORDS^^PRSN(451,^4.0^
NURSE ROLE^73^PRSN(451.1,^4.0^73
POC TYPE OF TIME^19^PRSN(451.4,^4.0^19
TYPE OF WORK^7^PRSN(451.5,^4.0^7
REASON FOR OVERTIME^7^PRSN(451.6,^4.0^7
POC DAILY ACTIVITY EXTRACTION^^PRSN(451.7,^4.0^
PRSE STUDENT EDUCATION TRACKING^^PRSE(452,^4.0^
PRSE PROGRAM/CLASS^^PRSE(452.1,^4.0^
PRSE EDUCATION PROGRAM/CLASS SUPPLIER^^PRSE(452.2,^4.0^
PRSE MANDATORY TRAINING (MI) CLASS GROUP^^PRSE(452.3,^4.0^
PRSE EDUCATION PROGRAM/CLASS CATEGORY^91^PRSE(452.4,^4.0^91
PRSE EDUCATION PRESENTATION MEDIA^^PRSE(452.5,^4.0^
PRSE EMPLOYEE PURPOSE OF TRAINING^10^PRSE(452.51,^4.0^9
PRSE SVC REASONS FOR TRAINING^^PRSE(452.6,^4.0^
PRSE PARAMETERS^^PRSE(452.7,^4.0^
PRSE EDUCATION REGISTRATION^^PRSE(452.8,^4.0^
PRSE EDUCATION ACCREDITATION ORGANIZATIONS^60^PRSE(452.9,^4.0^61
APPLICANT^^PRSP(453,^2.0^
PAID CODE FILES^1^PRSP(454,^4.0^1
PAID COST CENTER/ORGANIZATION^56^PRSP(454.1,^4.0^56
8B ERROR MESSAGE^146^PRST(455.1,^4.0^179
T&L UNIT^^PRST(455.5,^4.0^
PAID PARAMETERS^1^PRST(456,^4.0^1
TOUR OF DUTY^449^PRST(457.1,^4.0^496
SPECIAL TOUR INDICATOR^9^PRST(457.2,^4.0^9
TYPE OF TIME^25^PRST(457.3,^4.0^31
TIME REMARKS^15^PRST(457.4,^4.0^17
PAY ENTITLEMENT^126^PRST(457.5,^4.0^139
ENVIRONMENTAL DIFFERENTIALS^3^PRST(457.6,^4.0^3
TIME & ATTENDANCE RECORDS^0^PRST(458,^4.0^
LEAVE REQUESTS^^PRST(458.1,^4.0^
OT/CT REQUESTS^^PRST(458.2,^4.0^
ENVIRONMENTAL DIFF. REQUESTS^^PRST(458.3,^4.0^
PT PHYSICIAN EXTENDED ABSENCE^^PRST(458.4,^4.0^
PRIOR PP EXCEPTIONS^^PRST(458.5,^4.0^
OVERTIME WARNINGS^^PRST(458.6,^4.0^
PT PHYSICIAN MEMORANDUM^^PRST(458.7,^4.0^
RECESS TRACKING^^PRST(458.8,^4.0^
PAID PAYRUN DATA^0^PRST(459,^4.0^
PATIENT FUNDS^^PRPF(470,^3.0^
PATIENT FUNDS MASTER TRANSACTION^^PRPF(470.1,^3.0^
PATIENT FUNDS FORMS^14^PRPF(470.2,^3.0^18
PATIENT FUNDS TRANSACTION COUNTER^^PRPF(470.3,^3.0^
PATIENT FUNDS CONVERSION DISCREPANCY^^PRPF(470.4,^3.0^
PATIENT FUNDS TEMPORARY TRANSACTION^^PRPFT(470.5,^3.0^
PATIENT FUNDS REMARKS CODE^12^PRPF(470.6,^3.0^12
PATIENT FUNDS ARCHIVE HISTORY^^PRPF(470.9,^3.0^
UTILIZATION MANAGEMENT ROLLUP^^IBQ(538,^1.0^
CMOP SYSTEM^1^PSX(550,^2.0^1
CMOP RX QUEUE^0^PSX(550.1,^2.0^0
CMOP TRANSMISSION^^PSX(550.2,^2.0^
CMOP NATIONAL SITE^^PSX(552,^2.0^
CMOP REFERENCE^^PSX(552.1,^2.0^
CMOP DATABASE^^PSX(552.2,^2.0^
CMOP RELEASE^^PSX(552.3,^2.0^
CMOP MASTER DATABASE^^PSX(552.4,^2.0^
CMOP COST STATS^^PSX(552.5,^2.0^
CMOP INTERFACE^^PSX(553,^2.0^
CMOP QUERY^^PSX(553.1,^2.0^
CMOP OPERATIONS^1^PSX(554,^2.0^1
CMOP MASTER DATABASE ARCHIVE^^PSXARC(^2.0^
VDEF EVENT DESCRIPTION^14^VDEFHL7(577,^1.0^14
VDEF EVENT SUBTYPES^14^VDEFHL7(577.4,^1.0^14
VDEF REQUESTOR^1^VDEFHL7(579.1,^1.0^1
VDEF DESTINATION^1^VDEFHL7(579.2,^1.0^1
VDEF REQUEST QUEUE^1^VDEFHL7(579.3,^1.0^1
VDEF PARAMETERS^1^VDEFHL7(579.5,^1.0^1
VDEF CUSTODIAL PACKAGE^4^VDEFHL7(579.6,^1.0^4
CRISIS NOTE DISPLAY^^YSG("CNT",^5.01^
MH INSTRUMENT^^YTT(601,^5.01^
PSYCH INSTRUMENT PATIENT^^YTD(601.2,^5.01^
COPYRIGHT HOLDER^23^YTT(601.3,^5.01^22
INCOMPLETE PSYCH TEST PATIENT^^YTD(601.4,^5.01^
MH MULTIPLE SCORING^99^YTT(601.6,^5.01^250
MH TESTS AND SURVEYS^219^YTT(601.71,^5.01^219
MH QUESTIONS^7316^YTT(601.72,^5.01^7328
MH INTRODUCTIONS^2323^YTT(601.73,^5.01^2334
MH RESPONSE TYPES^11^YTT(601.74,^5.01^11
MH CHOICES^3617^YTT(601.75,^5.01^3631
MH CHOICETYPES^100004^YTT(601.751,^5.01^108495
MH INSTRUMENT CONTENT^7194^YTT(601.76,^5.01^7270
MH BATTERIES^^YTT(601.77,^5.01^
MH BATTERY CONTENTS^^YTT(601.78,^5.01^
MH BATTERY USERS^^YTT(601.781,^5.01^
MH SKIPPED QUESTIONS^960^YTT(601.79,^5.01^1873
MH SECTIONS^1596^YTT(601.81,^5.01^1657
MH RULES^284^YTT(601.82,^5.01^336
MH INSTRUMENTRULES^319^YTT(601.83,^5.01^459
MH ADMINISTRATIONS^^YTT(601.84,^5.01^
MH ANSWERS^^YTT(601.85,^5.01^
MH SCALEGROUPS^229^YTT(601.86,^5.01^244
MH SCALES^925^YTT(601.87,^5.01^993
MH DISPLAY^54259^YTT(601.88,^5.01^99948
MH CHOICEIDENTIFIERS^41888^YTT(601.89,^5.01^42145
MH SCORING KEYS^4971^YTT(601.91,^5.01^9825
MH RESULTS^^YTT(601.92,^5.01^
MH REPORT^144^YTT(601.93,^5.01^146
MH CR SCRATCH^^YTT(601.94,^5.01^
CLOZAPINE PATIENT LIST^^YSCL(603.01,^5.01^
CLOZAPINE LAB TEST^1^YSCL(603.02,^5.01^1
CLOZAPINE PARAMETERS^1^YSCL(603.03,^5.01^1
CLOZAPINE TESTS^1^YSCL(603.04,^5.01^1
ADDICTION SEVERITY INDEX^^YSTX(604,^5.01^
ASI PROGRAM TYPE^21^YSTX(604.26,^5.01^21
ASI LEGAL CODE^20^YSTX(604.3,^5.01^21
ASI LIVING ARRANGEMENTS^11^YSTX(604.4,^5.01^11
ASI PATIENT RATING SCALE^7^YSTX(604.45,^5.01^7
ASI ROUTE OF ADMINISTRATION^7^YSTX(604.48,^5.01^99
ASI FAMILY HX CODES^4^YSTX(604.5,^5.01^4
ASI FOLLOW UP^10^YSTX(604.55,^5.01^10
ASI QUICK FORM^270^YSTX(604.66,^5.01^26700
ASI NARRATIVE^23^YSTX(604.68,^5.01^27
ASI SUBSTANCE CODE^17^YSTX(604.77,^5.01^102
ASI PARAMETERS^1^YSTX(604.8,^5.01^1
MH CLINICAL FILE^^YS(615,^5.01^
SECLUSION/RESTRAINT^^YS(615.2,^5.01^
S/R REASONS^4^YSR(615.5,^5.01^4
S/R CATEGORY^5^YSR(615.6,^5.01^5
S/R RELEASE CRITERIA^6^YSR(615.7,^5.01^6
S/R ALTERNATIVES^8^YSR(615.8,^5.01^8
S/R OBSERVATION CHECKLIST^26^YSR(615.9,^5.01^26
MH WAIT LIST^^YSG("WAIT",^5.01^
MENTAL HEALTH CENSUS^^YSG("CEN",^5.01^
MENTAL HEALTH TEAM^^YSG("SUB",^5.01^
MENTAL HEALTH INPT^^YSG("INP",^5.01^
PROBLEM^29^DIC(620,^5.01^29
INDICATOR^245^DIC(625,^5.01^252
DSM3^350^DIC(627,^5.01^799.92
DSM-III-R^316^DIC(627.5,^5.01^3170
DSM^1077^YSD(627.7,^5.01^1086
DIAGNOSTIC RESULTS - MENTAL HEALTH^0^YSD(627.8,^5.01^
DSM MODIFIERS^112^DIC(627.9,^5.01^114
HBHC PATIENT^0^HBHC(631,^1.0^
HBHC REJECT/WITHDRAW REASON^10^HBHC(631.1,^1.0^10
HBHC EXPRESSIVE COMMUNICATION^6^HBHC(631.2,^1.0^9
HBHC RECEPTIVE COMMUNICATION^6^HBHC(631.3,^1.0^9
HBHC PROVIDER^^HBHC(631.4,^1.0^
HBHC TYPE OF VISIT^8^HBHC(631.5,^1.0^8
HBHC CLINIC^^HBHC(631.6,^1.0^
HBHC PERIOD OF SERVICE^11^HBHC(631.7,^1.0^11
HBHC VALID STATE CODE^^HBHC(631.8,^1.0^
HBHC SYSTEM PARAMETERS^1^HBHC(631.9,^1.0^1
HBHC VISIT^0^HBHC(632,^1.0^
HBHC TEAM^^HBHC(633,^1.0^
HBHC ERROR MESSAGES FOR VISITS^13^HBHC(633.1,^1.0^13
HBHC MEDICAL FOSTER HOME^^HBHC(633.2,^1.0^
HBHC TRANSMIT^^HBHC(634,^^
HBHC EVALUATION/ADMISSION ERROR(S)^^HBHC(634.1,^1.0^
HBHC VISIT ERROR(S)^^HBHC(634.2,^1.0^
HBHC DISCHARGE ERROR(S)^^HBHC(634.3,^1.0^
HBHC FORM 6 CORRECTIONS^^HBHC(634.4,^^
HBHC PSEUDO SSN ERROR(S)^^HBHC(634.5,^1.0^
HBHC TRANSMIT HISTORY^^HBHC(634.6,^1.0^
HBHC MEDICAL FOSTER HOME ERROR(S)^^HBHC(634.7,^1.0^
SOCIAL WORK CASE^0^SOWK(650,^3.0^
SOCIAL WORK SITE PARAMETERS^^SOWK(650.1,^3.0^
COST DISTRIBUTION CENTER^342^SOWK(651,^3.0^342
RCH^^SOWK(652,^3.0^
RESOURCES/REFERRALS^20^SOWK(653,^3.0^20
SOCIAL WORK PATIENT^^SOWK(655,^3.0^
SWS ASSESSMENT DATA BASE^^SOWK(655.2,^3.0^
PSYCHO-SOCIAL PROBLEMS^38^SOWK(655.201,^3.0^38
DIRECT SERVICE CATEGORIES^26^SOWK(655.202,^3.0^26
PSYCHO-SOCIAL OUTCOMES^8^SOWK(655.203,^3.0^8
SWS RESOURCES^^SOWK(656,^3.0^
RECORD OF PROS APPLIANCE/REPAIR^0^RMPR(660,^3.0^
PROS RETURNED/CONDEMNED^^RMPR(660.1,^3.0^
PROSTHETICS RE-ISSUE ITEM^^RMPR(660.2,^^
PROS ITEM MASTER^^RMPR(661,^3.0^
PROSTHETIC HCPCS^3209^RMPR(661.1,^3.0^4089
PROSTHETICS HCPCS ITEM MASTER FILE^^RMPR(661.11,^3.0^
PROS STOCK ITEM RECORD^^RMPR(661.2,^3.0^
PROS ITEM LOCATION^^RMPR(661.3,^3.0^
HCPCS INVENTORY^^RMPR(661.4,^3.0^
HCPCS INVENTORY ORDER AND REORDER^^RMPR(661.41,^3.0^
PROSTHETIC STOCK LOCATION^^RMPR(661.5,^3.0^
PROSTHETIC INVENTORY TRANSACTION^^RMPR(661.6,^3.0^
PROSTHETIC TRANSACTION PATIENT ISSUE^^RMPR(661.63,^3.0^
PROSTHETIC INVENTORY GAIN/LOSS^^RMPR(661.69,^3.0^
PROSTHETIC CURRENT STOCK^^RMPR(661.7,^3.0^
VENDOR PRODUCT HCPCS MAP^^RMPR(661.8,^3.0^
PROSTHETICS HCPCS RUNNING BALANCE^^RMPR(661.9,^3.0^
PROS DISABILITY CODE^67^RMPR(662,^3.0^67
PROS AMIS CODES^103^RMPR(663,^3.0^103
ACTIVITIES NEW/REPAIR WORKSHEET TOTALS^^RMPRA(663.2,^3.0^
PROSTHETIC DISABILITY WORKSHEET^10^RMPRA(663.3,^3.0^10
PROSTHETIC APPOINTMENT WORKSHEET^^RMPRA(663.4,^3.0^
PROSTHETICS 1358^^RMPR(664,^3.0^
PROSTHETIC 2529-3^^RMPR(664.1,^3.0^
PROSTHETIC WORK ORDER^^RMPR(664.2,^3.0^
PROSTHETIC LAB HOURS DATE^^RMPR(664.3,^3.0^
PROS LABORATORY/RESTORATIONS WORKSHEET^^RMPRA(664.4,^3.0^
PROSTHETICS PATIENT^0^RMPR(665,^3.0^
PROSTHETIC HOME/LIAISON VISITS^^RMPR(665.1,^3.0^
PROS LETTER^1^RMPR(665.2,^3.0^1
PROS LETTER TRANSACTION FILE^0^RMPR(665.4,^3.0^
HOME OXYGEN TRANSACTIONS FILE^^RMPO(665.72,^3.0^
VEHICLE OF RECORD^^RMPR(667,^3.0^
PROS AUTO-ADAPTIVE EQUIP^^RMPR(667.1,^3.0^
AUTO-ADAPTIVE MANUFACTURER^^RMPR(667.2,^3.0^
V.O.R. TRANSACTION^^RMPR(667.3,^3.0^
PROSTHETIC SUSPENSE^0^RMPR(668,^3.0^
PROSTHETIC LAB W.O #^^RMPR(669.1,^3.0^
PROSTHETICS SITE PARAMETERS^1^RMPR(669.9,^3.0^1
MEDICAL PATIENT^0^MCAR(690,^2.3^
MEDICINE PACKAGE PARAMETERS^0^MCAR(690.1,^2.3^
MEDICINE VIEW^36^MCAR(690.2,^2.3^37
ASTM^1327^MCAR(690.5,^2.3^1331
Instrument HL7 Coding^7^MCAR(690.7,^2.3^10
MCQ POLLING^0^MCAR(690.97,^2.3^
*NEW PERSON CONVERSION^0^MCAR(690.99,^2.3^
ECHO^0^MCAR(691,^2.3^
CARDIAC CATHETERIZATION^0^MCAR(691.1,^2.3^
